metric,value,source
Total MH HPSA Designations,6807.0,HRSA Q1 FY2026 (Dec 31 2025)
Population in MH HPSAs (M),137.1,HRSA Q1 FY2026 (Dec 31 2025)
Pct of Need Met,27.29,HRSA Q1 FY2026 (Dec 31 2025)
Practitioners Needed,6800.0,HRSA Q1 FY2026 (Dec 31 2025)
Geographic HPSAs,1098.0,HRSA Q1 FY2026 (Dec 31 2025)
Population Group HPSAs,817.0,HRSA Q1 FY2026 (Dec 31 2025)
Facility HPSAs,4892.0,HRSA Q1 FY2026 (Dec 31 2025)
Rural HPSAs,4312.0,HRSA Q1 FY2026 (Dec 31 2025)
Non-Rural HPSAs,1847.0,HRSA Q1 FY2026 (Dec 31 2025)
